Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 2	 22	 75.5811462402344	 103.164306640625	-1	 1182.27685546875	 417	 0
 2	 23	 76.6095733642578	 103.103797912598	-1	 1939.60791015625	 445	 0
 2	 24	 76.5881500244141	 103.502105712891	-1	 1557.1123046875	 456	 0
 2	 25	 76.6004257202148	 103.157989501953	-1	 1580.06652832031	 474	 0
 2	 26	 76.5363616943359	 102.941818237305	-1	 3079.2451171875	 512	 0
 2	 27	 76.6712646484375	 102.870941162109	-1	 1736.2255859375	 529	 0
 2	 28	 76.482780456543	 102.837013244629	-1	 2051.67236328125	 557	 0
 2	 29	 76.5289688110352	 103.498054504395	-1	 2072.79736328125	 576	 0
 2	 30	 76.4600067138672	 103.283546447754	-1	 1862.00256347656	 610	 0
 2	 31	 76.4365844726563	 102.76904296875	-1	 1876.56665039063	 636	 0
 2	 32	 76.8886260986328	 102.389190673828	-1	 1003.92962646484	 652	 0
 2	 33	 76.7755279541016	 102.766792297363	-1	 942.847717285156	 685	 0
 2	 34	 76.4327774047852	 102.804786682129	-1	 1673.93115234375	 691	 0
 2	 35	 76.2861633300781	 103.132759094238	-1	 1883.50085449219	 726	 0
 2	 36	 76.328857421875	 102.493278503418	-1	 2223.09814453125	 758	 0
 2	 37	 76.5186462402344	 102.779342651367	-1	 1052.73168945313	 765	 0
 2	 38	 75.5290603637695	 101.880737304688	-1	 763.522888183594	 803	 0
 2	 39	 75.7834091186523	 102.440849304199	-1	 2145.02075195313	 818	 0
 2	 40	 76.5143508911133	 103.211921691895	-1	 1597.89306640625	 848	 0
 2	 41	 76.6718444824219	 102.934478759766	-1	 2359.62524414063	 869	 0
 2	 42	 76.5243911743164	 103.080490112305	-1	 2289.22680664063	 876	 0
 2	 43	 76.6186447143555	 102.988822937012	-1	 2794.39184570313	 896	 0
 2	 44	 76.3083038330078	 103.308784484863	-1	 2405.20239257813	 925	 0
 2	 45	 76.1938018798828	 103.304351806641	-1	 2196.56176757813	 935	 0
 2	 46	 76.1665725708008	 102.950469970703	-1	 3526.4921875	 957	 0
 2	 47	 75.8880157470703	 103.740013122559	-1	 2700.39453125	 983	 0
 2	 48	 75.9887084960938	 103.815063476563	-1	 2346.20361328125	 996	 0
 2	 49	 76.5575408935547	 103.126617431641	-1	 2893.16967773438	 1020	 0
 2	 50	 76.4023818969727	 103.174270629883	-1	 2043.83081054688	 1044	 0
 2	 51	 76.316780090332	 103.350997924805	-1	 3345.08666992188	 1061	 0
 2	 52	 76.278923034668	 103.428024291992	-1	 3725.12475585938	 1082	 0
 2	 53	 76.2008285522461	 103.457107543945	-1	 3577.876953125	 1116	 0
 2	 54	 76.3019409179688	 103.262428283691	-1	 2976.72607421875	 1129	 0
 2	 55	 76.2599792480469	 103.636734008789	-1	 3928.3994140625	 1153	 0
 2	 56	 76.1350173950195	 103.786758422852	-1	 3934.86352539063	 1177	 0
 2	 57	 76.1552352905273	 103.468338012695	-1	 3680.12255859375	 1193	 0
 2	 58	 76.2672348022461	 103.61759185791	-1	 3135.98828125	 1215	 0
 2	 59	 76.2996826171875	 104.100173950195	-1	 2589.62109375	 1241	 0
 2	 60	 76.3091735839844	 103.391822814941	-1	 1536.65856933594	 1258	 0
 2	 61	 75.9703216552734	 102.857490539551	-1	 1321.21704101563	 1267	 0
 2	 62	 76.5309600830078	 103.062896728516	-1	 2468.84375	 1285	 0
 2	 63	 76.2311782836914	 103.525390625	-1	 3217.904296875	 1310	 0
