<xid>	<yid>	<x in nm>	<y in nm>	<Rg>	<Spring Const k>	<log10(k)>
10	198	1600.0	31680.0	743.8082701265632	0.0013444324836961604	-2.8714610028080623
10	199	1600.0	31840.0	299.0551714178982	0.003343864596150404	-2.475751316859605
10	200	1600.0	32000.0	491.18501892168484	0.0020358927114579634	-2.6912451124106695
10	208	1600.0	33280.0	1536.1337128456794	0.00065098499670807	-3.1864290205285526
10	209	1600.0	33440.0	1861.1827180922842	0.0005372927602857832	-3.269789011262904
10	210	1600.0	33600.0			
11	16	1760.0	2560.0	2106.3548448802035	0.0004747538157830543	-3.323531535981435
11	17	1760.0	2720.0	318.98825959070575	0.00313491161487605	-2.503774699079747
11	18	1760.0	2880.0	1732.1436373675945	0.0005773193275817117	-3.2385839028831827
11	19	1760.0	3040.0	1008.0049837514041	0.0009920585871295868	-3.0034626793420296
11	58	1760.0	9280.0			
11	65	1760.0	10400.0	151.88946225174053	0.006583735205689299	-2.1815276445364518
11	66	1760.0	10560.0	372.79556789509036	0.0026824353241276014	-2.571470740457299
11	107	1760.0	17120.0	1223.0515692174863	0.0008176270119499575	-3.0874447691821745
11	108	1760.0	17280.0	950.8454757457836	0.0010516955967168722	-2.9781099443993924
11	111	1760.0	17760.0			
11	147	1760.0	23520.0			
11	148	1760.0	23680.0	43.08056237210605	0.023212324652648532	-1.6342813639274367
11	149	1760.0	23840.0	247.51338221489198	0.004040185589366625	-2.393598684744204
11	150	1760.0	24000.0	841.923596718672	0.0011877562333416213	-2.9252726817264656
11	151	1760.0	24160.0	2253.757925014324	0.00044370337599307363	-3.3529072668669815
11	152	1760.0	24320.0	1195.9721731226534	0.0008361398554859558	-3.077721074970225
11	153	1760.0	24480.0	988.539039535767	0.001011593836971391	-2.9949938252128345
11	154	1760.0	24640.0	503.839045592809	0.0019847608254009294	-2.702291820622238
11	168	1760.0	26880.0	398.20055720798916	0.0025112973397414845	-2.6001018634065733
11	169	1760.0	27040.0	1661.8837599765022	0.0006017268018878403	-3.220600643896811
11	198	1760.0	31680.0	235.33712944481522	0.004249223241394607	-2.371690451786699
11	199	1760.0	31840.0	474.06575719280397	0.002109412006303794	-2.675838586410928
11	200	1760.0	32000.0			
11	207	1760.0	33120.0	0.2343338914112233	4.26741515696993	0.6301648954045633
11	208	1760.0	33280.0	358.2710278930827	0.0027911829931680262	-2.5542116897321234
11	209	1760.0	33440.0	1126.0288424239238	0.0008880767191072741	-3.0515495148005227
11	210	1760.0	33600.0			
12	16	1920.0	2560.0	1517.0918604525123	0.0006591558666076581	-3.181011878268467
12	57	1920.0	9120.0			
12	58	1920.0	9280.0			
12	107	1920.0	17120.0	2370.4319747174195	0.0004218640360347023	-3.3748274967025376
12	108	1920.0	17280.0	678.3331144611642	0.0014742019498699438	-2.831443018711369
12	147	1920.0	23520.0	128.78730299494555	0.007764740597442641	-2.1098730484970507
12	148	1920.0	23680.0	1192.3102012383383	0.0008387079125561417	-3.0763892597329163
12	149	1920.0	23840.0	1572.8736665306506	0.0006357789702244424	-3.196693841420503
12	150	1920.0	24000.0	542.6831192980685	0.001842695975679963	-2.7345463126247673
12	153	1920.0	24480.0	317.10581624418126	0.003153521470668861	-2.501204207777918
12	154	1920.0	24640.0	750.1477406641382	0.0013330707349923589	-2.875146805573521
12	155	1920.0	24800.0	496.69086610196604	0.0020133247221717767	-2.696086173609099
12	168	1920.0	26880.0	901.3098760131495	0.001109496330411241	-2.9548741298310572
12	169	1920.0	27040.0	84.16703302697172	0.011881136402652393	-1.9251420181260586
12	181	1920.0	28960.0			
12	197	1920.0	31520.0			
12	198	1920.0	31680.0	979.3630665277755	0.0010210717906132508	-2.99094372199624
12	199	1920.0	31840.0	686.2787772629297	0.0014571337962515432	-2.8365005688161955
12	200	1920.0	32000.0			
12	204	1920.0	32640.0			
12	205	1920.0	32800.0			
12	207	1920.0	33120.0	824.3760532128928	0.001213038632190536	-2.9161253677401815
12	208	1920.0	33280.0	416.41885523165536	0.0024014282433097232	-2.6195303859145542
12	209	1920.0	33440.0			
12	210	1920.0	33600.0	101.09099514686581	0.009892077910076876	-2.0047124717908025
